OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036FP,2025-02-16T23:28:56.917056,14.55993456,0.003066,74.0203,267.6434,125.8945,356.0802,0,U,33980,999,84442,0.001249,5.505e-05,0.0
COSMOS 2251 DEB,1993-036FR,2025-02-16T20:46:54.962688,14.58498818,0.0078241,74.0703,208.5584,332.2432,140.9499,0,U,33982,999,84799,0.00079167,3.806e-05,0.0
COSMOS 2251 DEB,1993-036FS,2025-02-17T04:59:19.391712,14.49108828,0.0021733,74.0538,347.0815,169.7398,308.1303,0,U,33983,999,84309,0.001088,4.123e-05,0.0
COSMOS 2251 DEB,1993-036FT,2025-02-17T12:04:09.804864,14.62658245,0.0025392,74.0102,201.337,107.319,315.9029,0,U,33984,999,84712,0.0021579,0.00011017,0.0
COSMOS 2251 DEB,1993-036FV,2025-02-17T00:15:21.866400,14.41387174,0.0044586,74.0375,136.7575,286.5325,247.6273,0,U,33986,999,83773,0.001389,4.53e-05,0.0
COSMOS 2251 DEB,1993-036FZ,2025-02-16T18:01:56.540640,13.49477164,0.0406256,73.9275,45.7635,121.977,47.8443,0,U,33990,999,78695,0.00073268,7.52e-06,0.0
COSMOS 2251 DEB,1993-036GB,2025-02-16T20:23:48.446592,14.62841592,0.0057436,74.0252,192.7205,25.5412,89.4842,0,U,33992,999,84749,0.0013975,7.287e-05,0.0
COSMOS 2251 DEB,1993-036GD,2025-02-16T23:33:16.613856,14.40930504,0.0024364,74.0442,23.1516,235.424,181.0611,0,U,33994,999,84116,0.00022505,6.98e-06,0.0
COSMOS 2251 DEB,1993-036GE,2025-02-16T10:30:36.014112,14.32954418,0.0060843,74.0636,306.126,35.6056,324.913,0,U,33995,999,83229,0.0017243,4.791e-05,0.0
COSMOS 2251 DEB,1993-036GJ,2025-02-17T04:48:10.234080,14.74717905,0.0051322,73.9228,102.3049,59.813,300.8111,0,U,33999,999,84855,0.0018928,0.00012913,0.0
COSMOS 2251 DEB,1993-036GL,2025-02-17T04:09:38.119968,14.36642705,0.0021809,74.0378,110.4012,269.1742,121.6868,0,U,34001,999,83860,0.00030293,8.68e-06,0.0
COSMOS 2251 DEB,1993-036GN,2025-02-16T11:22:32.456928,13.82466305,0.0286778,74.0765,68.1543,250.8073,106.1816,0,U,34003,999,80287,0.0029714,4.384e-05,0.0
COSMOS 2251 DEB,1993-036GP,2025-02-16T19:17:22.831008,14.45643624,0.0034385,74.0365,152.1775,246.2584,113.4966,0,U,34004,999,83705,0.0021535,7.652e-05,0.0
COSMOS 2251 DEB,1993-036GQ,2025-02-17T10:03:22.395744,14.39973593,0.0021838,74.0446,44.6831,241.4877,234.528,0,U,34005,999,84092,0.00027641,8.46e-06,0.0
COSMOS 2251 DEB,1993-036GR,2025-02-17T08:01:50.619360,14.75695639,0.000591,74.0637,14.5655,50.9373,73.0282,0,U,34006,999,84246,0.0070228,0.0004835,0.0
COSMOS 2251 DEB,1993-036GS,2025-02-16T19:18:05.173056,14.61616775,0.0049286,74.021,200.9124,49.0611,311.4805,0,U,34007,999,84707,0.0014802,7.465e-05,0.0
COSMOS 2251 DEB,1993-036GT,2025-02-17T12:56:31.415136,14.3288241,0.0024411,74.0347,155.3763,227.7675,143.1541,0,U,34008,999,83697,0.00025964,6.85e-06,0.0
COSMOS 2251 DEB,1993-036GU,2025-02-16T19:07:02.832384,14.32904469,0.0028707,74.0377,163.102,306.42,176.5331,0,U,34009,999,83663,0.00027467,7.28e-06,0.0
COSMOS 2251 DEB,1993-036GV,2025-02-17T08:53:24.000288,14.88764311,0.0018172,74.0126,171.9574,13.3204,346.8453,0,U,34010,999,84816,0.005663,0.00053514,0.0
COSMOS 2251 DEB,1993-036GW,2025-02-17T11:10:53.296896,14.39668189,0.0040735,74.0152,162.7299,320.2721,39.5451,0,U,34011,999,83639,0.0017197,5.41e-05,0.0
COSMOS 2251 DEB,1993-036GZ,2025-02-16T15:55:31.032768,14.68418917,0.0043963,74.0192,142.0624,356.6481,119.1841,0,U,34014,999,84906,0.0016073,9.418e-05,0.0
COSMOS 2251 DEB,1993-036HA,2025-02-16T22:19:29.875296,14.56399653,0.0024821,74.0279,8.4207,187.7255,240.763,0,U,34015,999,84175,0.0020252,9.009e-05,0.0
COSMOS 2251 DEB,1993-036HD,2025-02-17T13:01:20.702208,13.80618275,0.0266084,73.8754,237.2803,327.86,91.2105,0,U,34018,999,80562,0.00051539,6.81e-06,0.0
COSMOS 2251 DEB,1993-036HE,2025-02-17T11:47:02.495904,14.32172856,0.0063242,73.9534,238.4575,124.0538,263.9732,0,U,34019,999,83251,0.0017165,4.702e-05,0.0
COSMOS 2251 DEB,1993-036HG,2025-02-16T13:18:04.619232,14.48600722,0.0021626,74.0399,331.0012,192.7816,340.6783,0,U,34021,999,84321,0.00083339,3.117e-05,0.0
COSMOS 2251 DEB,1993-036HH,2025-02-16T21:11:45.945024,14.38380096,0.0023934,74.0529,101.2331,246.418,287.2645,0,U,34022,999,83897,0.00039155,1.171e-05,0.0
COSMOS 2251 DEB,1993-036HJ,2025-02-17T12:56:24.874656,14.39678628,0.002068,74.0236,83.2443,257.4129,224.965,0,U,34023,999,83925,0.0006083,1.882e-05,0.0
COSMOS 2251 DEB,1993-036HK,2025-02-16T17:12:01.915776,14.3496119,0.0022723,74.0469,143.878,272.7699,209.7313,0,U,34024,999,83734,0.00034346,9.54e-06,0.0
COSMOS 2251 DEB,1993-036HM,2025-02-16T13:57:34.104672,13.64259305,0.0350461,73.7657,114.3152,28.9278,92.5946,0,U,34026,999,79450,0.0010778,1.285e-05,0.0
COSMOS 2251 DEB,1993-036HP,2025-02-17T02:42:53.655264,13.20292566,0.0549822,73.8804,85.0258,272.5749,111.7201,0,U,34028,999,77086,0.0010709,9.32e-06,0.0
COSMOS 2251 DEB,1993-036HS,2025-02-16T15:25:42.083616,14.55750792,0.0026166,74.0178,345.2257,183.0661,237.2825,0,U,34031,999,84207,0.0022256,9.771e-05,0.0
COSMOS 2251 DEB,1993-036HT,2025-02-17T03:04:45.488064,15.92410856,0.0017567,73.9762,295.9809,166.5329,193.6378,0,U,34032,999,84410,0.02332,0.05920756,0.061765
COSMOS 2251 DEB,1993-036HU,2025-02-17T05:21:42.386400,15.46855353,0.0015904,73.9612,337.9355,152.7136,207.4915,0,U,34033,999,84214,0.020786,0.01147591,0.0
COSMOS 2251 DEB,1993-036HW,2025-02-16T18:52:16.846176,14.47592883,0.0046464,74.0667,189.4696,273.4458,211.6396,0,U,34035,999,83633,0.003235,0.00012068,0.0
COSMOS 2251 DEB,1993-036HX,2025-02-16T07:54:23.641920,14.74718797,0.0020643,74.0305,23.3009,168.2796,191.8862,0,U,34036,999,84128,0.0057376,0.00038671,0.0
COSMOS 2251 DEB,1993-036HY,2025-02-16T21:25:27.380064,14.33479003,0.0054613,74.0497,236.8902,0.9312,359.193,0,U,34037,999,83433,0.00093145,2.592e-05,0.0
COSMOS 2251 DEB,1993-036JB,2025-02-17T10:55:56.790624,13.67258552,0.0343733,73.9587,198.3103,211.3336,146.6892,0,U,34040,999,79552,0.0061676,7.778e-05,0.0
COSMOS 2251 DEB,1993-036JG,2025-02-16T19:32:56.599872,14.33852097,0.0027717,74.0392,137.701,295.4651,204.3463,0,U,34045,999,83748,0.00016451,4.34e-06,0.0
COSMOS 2251 DEB,1993-036JH,2025-02-16T21:45:46.415808,14.42988026,0.0083058,74.0387,206.9324,5.3432,118.4393,0,U,34046,999,83531,0.0024861,8.66e-05,0.0
COSMOS 2251 DEB,1993-036JM,2025-02-17T11:19:14.516256,13.9530946,0.0219712,74.0887,161.344,297.7914,178.1712,0,U,34050,999,81291,0.0011774,1.925e-05,0.0
COSMOS 2251 DEB,1993-036JQ,2025-02-16T21:29:09.999168,13.48684212,0.0426581,73.8462,3.5759,202.2731,155.9356,0,U,34053,999,78687,0.00048177,5.04e-06,0.0
COSMOS 2251 DEB,1993-036JR,2025-02-17T07:23:16.428192,15.10646054,0.0024045,74.0139,114.7969,311.2056,119.7925,0,U,34054,999,85024,0.0057134,0.00096395,0.0
COSMOS 2251 DEB,1993-036JT,2025-02-17T01:04:33.254112,14.18080947,0.0129692,74.0591,249.4012,11.3981,147.6305,0,U,34056,999,82190,0.0022241,4.935e-05,0.0
COSMOS 2251 DEB,1993-036JU,2025-02-17T10:04:36.509664,15.05721046,0.0026065,74.0143,163.82,345.5666,77.5376,0,U,34057,999,84832,0.0086296,0.0012803,0.0
COSMOS 2251 DEB,1993-036JV,2025-02-17T10:32:45.932064,13.55682948,0.0377696,73.9358,301.4911,353.0723,181.0978,0,U,34058,999,79112,0.0012037,1.303e-05,0.0
COSMOS 2251 DEB,1993-036JW,2025-02-17T04:53:16.522944,14.50308689,0.0019767,74.0413,28.3407,190.2952,181.4912,0,U,34059,999,84126,0.0016381,6.38e-05,0.0
COSMOS 2251 DEB,1993-036JY,2025-02-16T21:07:10.208064,14.39486897,0.0022283,74.0378,95.4556,252.2856,281.1664,0,U,34061,999,83878,0.00055301,1.702e-05,0.0
COSMOS 2251 DEB,1993-036JZ,2025-02-16T22:55:28.928352,14.68428682,0.0090807,74.035,0.7067,159.5236,264.7341,0,U,34062,999,84195,0.0032571,0.00020096,0.0
COSMOS 2251 DEB,1993-036KB,2025-02-16T14:43:58.379232,14.4097179,0.0024255,74.032,105.2296,251.9844,235.5451,0,U,34064,999,83845,0.00084829,2.709e-05,0.0
